guidance_id,condition_code,condition_name_vi,population_code,population_name_vi,topic_code,topic_name_vi,guidance_text,warning_level,medical_disclaimer
HG00101,shoulder_discomfort,Khó chịu vai nhẹ,skinny_beginner,Người gầy mới tập,training_modification,Điều chỉnh bài tập,"Khó chịu vai nhẹ ở nhóm người gầy mới tập: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00102,shoulder_discomfort,Khó chịu vai nhẹ,skinny_beginner,Người gầy mới tập,recovery,Hồi phục,"Khó chịu vai nhẹ ở nhóm người gầy mới tập: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00103,shoulder_discomfort,Khó chịu vai nhẹ,skinny_beginner,Người gầy mới tập,nutrition,Dinh dưỡng,"Khó chịu vai nhẹ ở nhóm người gầy mới tập: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00104,shoulder_discomfort,Khó chịu vai nhẹ,skinny_beginner,Người gầy mới tập,load_management,Quản lý tải,"Khó chịu vai nhẹ ở nhóm người gầy mới tập: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00105,shoulder_discomfort,Khó chịu vai nhẹ,skinny_beginner,Người gầy mới tập,warning_signs,Dấu hiệu cần thận trọng,"Khó chịu vai nhẹ ở nhóm người gầy mới tập: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00106,shoulder_discomfort,Khó chịu vai nhẹ,home_trainee,Người tập tại nhà,training_modification,Điều chỉnh bài tập,"Khó chịu vai nhẹ ở nhóm người tập tại nhà: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00107,shoulder_discomfort,Khó chịu vai nhẹ,home_trainee,Người tập tại nhà,recovery,Hồi phục,"Khó chịu vai nhẹ ở nhóm người tập tại nhà: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00108,shoulder_discomfort,Khó chịu vai nhẹ,home_trainee,Người tập tại nhà,nutrition,Dinh dưỡng,"Khó chịu vai nhẹ ở nhóm người tập tại nhà: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00109,shoulder_discomfort,Khó chịu vai nhẹ,home_trainee,Người tập tại nhà,load_management,Quản lý tải,"Khó chịu vai nhẹ ở nhóm người tập tại nhà: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00110,shoulder_discomfort,Khó chịu vai nhẹ,home_trainee,Người tập tại nhà,warning_signs,Dấu hiệu cần thận trọng,"Khó chịu vai nhẹ ở nhóm người tập tại nhà: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00111,shoulder_discomfort,Khó chịu vai nhẹ,strength_athlete,Người ưu tiên sức mạnh,training_modification,Điều chỉnh bài tập,"Khó chịu vai nhẹ ở nhóm người ưu tiên sức mạnh: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00112,shoulder_discomfort,Khó chịu vai nhẹ,strength_athlete,Người ưu tiên sức mạnh,recovery,Hồi phục,"Khó chịu vai nhẹ ở nhóm người ưu tiên sức mạnh: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00113,shoulder_discomfort,Khó chịu vai nhẹ,strength_athlete,Người ưu tiên sức mạnh,nutrition,Dinh dưỡng,"Khó chịu vai nhẹ ở nhóm người ưu tiên sức mạnh: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00114,shoulder_discomfort,Khó chịu vai nhẹ,strength_athlete,Người ưu tiên sức mạnh,load_management,Quản lý tải,"Khó chịu vai nhẹ ở nhóm người ưu tiên sức mạnh: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00115,shoulder_discomfort,Khó chịu vai nhẹ,strength_athlete,Người ưu tiên sức mạnh,warning_signs,Dấu hiệu cần thận trọng,"Khó chịu vai nhẹ ở nhóm người ưu tiên sức mạnh: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00116,shoulder_discomfort,Khó chịu vai nhẹ,hypertrophy_trainee,Người ưu tiên tăng cơ,training_modification,Điều chỉnh bài tập,"Khó chịu vai nhẹ ở nhóm người ưu tiên tăng cơ: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00117,shoulder_discomfort,Khó chịu vai nhẹ,hypertrophy_trainee,Người ưu tiên tăng cơ,recovery,Hồi phục,"Khó chịu vai nhẹ ở nhóm người ưu tiên tăng cơ: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00118,shoulder_discomfort,Khó chịu vai nhẹ,hypertrophy_trainee,Người ưu tiên tăng cơ,nutrition,Dinh dưỡng,"Khó chịu vai nhẹ ở nhóm người ưu tiên tăng cơ: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00119,shoulder_discomfort,Khó chịu vai nhẹ,hypertrophy_trainee,Người ưu tiên tăng cơ,load_management,Quản lý tải,"Khó chịu vai nhẹ ở nhóm người ưu tiên tăng cơ: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00120,shoulder_discomfort,Khó chịu vai nhẹ,hypertrophy_trainee,Người ưu tiên tăng cơ,warning_signs,Dấu hiệu cần thận trọng,"Khó chịu vai nhẹ ở nhóm người ưu tiên tăng cơ: Tránh cố tập xuyên đau, ưu tiên quỹ đạo vai ổn và kiểm soát bả vai. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00121,lower_back_tightness,Căng lưng dưới,office_worker,Dân văn phòng,training_modification,Điều chỉnh bài tập,"Căng lưng dưới ở nhóm dân văn phòng: Rà soát hinge, core brace và quản lý fatigue. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00122,lower_back_tightness,Căng lưng dưới,office_worker,Dân văn phòng,recovery,Hồi phục,"Căng lưng dưới ở nhóm dân văn phòng: Rà soát hinge, core brace và quản lý fatigue. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00123,lower_back_tightness,Căng lưng dưới,office_worker,Dân văn phòng,nutrition,Dinh dưỡng,"Căng lưng dưới ở nhóm dân văn phòng: Rà soát hinge, core brace và quản lý fatigue. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00124,lower_back_tightness,Căng lưng dưới,office_worker,Dân văn phòng,load_management,Quản lý tải,"Căng lưng dưới ở nhóm dân văn phòng: Rà soát hinge, core brace và quản lý fatigue. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00125,lower_back_tightness,Căng lưng dưới,office_worker,Dân văn phòng,warning_signs,Dấu hiệu cần thận trọng,"Căng lưng dưới ở nhóm dân văn phòng: Rà soát hinge, core brace và quản lý fatigue. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00126,lower_back_tightness,Căng lưng dưới,student,Sinh viên,training_modification,Điều chỉnh bài tập,"Căng lưng dưới ở nhóm sinh viên: Rà soát hinge, core brace và quản lý fatigue. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00127,lower_back_tightness,Căng lưng dưới,student,Sinh viên,recovery,Hồi phục,"Căng lưng dưới ở nhóm sinh viên: Rà soát hinge, core brace và quản lý fatigue. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00128,lower_back_tightness,Căng lưng dưới,student,Sinh viên,nutrition,Dinh dưỡng,"Căng lưng dưới ở nhóm sinh viên: Rà soát hinge, core brace và quản lý fatigue. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00129,lower_back_tightness,Căng lưng dưới,student,Sinh viên,load_management,Quản lý tải,"Căng lưng dưới ở nhóm sinh viên: Rà soát hinge, core brace và quản lý fatigue. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00130,lower_back_tightness,Căng lưng dưới,student,Sinh viên,warning_signs,Dấu hiệu cần thận trọng,"Căng lưng dưới ở nhóm sinh viên: Rà soát hinge, core brace và quản lý fatigue. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00131,lower_back_tightness,Căng lưng dưới,busy_parent,Người bận rộn,training_modification,Điều chỉnh bài tập,"Căng lưng dưới ở nhóm người bận rộn: Rà soát hinge, core brace và quản lý fatigue. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00132,lower_back_tightness,Căng lưng dưới,busy_parent,Người bận rộn,recovery,Hồi phục,"Căng lưng dưới ở nhóm người bận rộn: Rà soát hinge, core brace và quản lý fatigue. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00133,lower_back_tightness,Căng lưng dưới,busy_parent,Người bận rộn,nutrition,Dinh dưỡng,"Căng lưng dưới ở nhóm người bận rộn: Rà soát hinge, core brace và quản lý fatigue. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00134,lower_back_tightness,Căng lưng dưới,busy_parent,Người bận rộn,load_management,Quản lý tải,"Căng lưng dưới ở nhóm người bận rộn: Rà soát hinge, core brace và quản lý fatigue. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00135,lower_back_tightness,Căng lưng dưới,busy_parent,Người bận rộn,warning_signs,Dấu hiệu cần thận trọng,"Căng lưng dưới ở nhóm người bận rộn: Rà soát hinge, core brace và quản lý fatigue. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00136,lower_back_tightness,Căng lưng dưới,overweight_beginner,Người thừa cân mới tập,training_modification,Điều chỉnh bài tập,"Căng lưng dưới ở nhóm người thừa cân mới tập: Rà soát hinge, core brace và quản lý fatigue. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00137,lower_back_tightness,Căng lưng dưới,overweight_beginner,Người thừa cân mới tập,recovery,Hồi phục,"Căng lưng dưới ở nhóm người thừa cân mới tập: Rà soát hinge, core brace và quản lý fatigue. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00138,lower_back_tightness,Căng lưng dưới,overweight_beginner,Người thừa cân mới tập,nutrition,Dinh dưỡng,"Căng lưng dưới ở nhóm người thừa cân mới tập: Rà soát hinge, core brace và quản lý fatigue. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00139,lower_back_tightness,Căng lưng dưới,overweight_beginner,Người thừa cân mới tập,load_management,Quản lý tải,"Căng lưng dưới ở nhóm người thừa cân mới tập: Rà soát hinge, core brace và quản lý fatigue. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00140,lower_back_tightness,Căng lưng dưới,overweight_beginner,Người thừa cân mới tập,warning_signs,Dấu hiệu cần thận trọng,"Căng lưng dưới ở nhóm người thừa cân mới tập: Rà soát hinge, core brace và quản lý fatigue. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00141,lower_back_tightness,Căng lưng dưới,skinny_beginner,Người gầy mới tập,training_modification,Điều chỉnh bài tập,"Căng lưng dưới ở nhóm người gầy mới tập: Rà soát hinge, core brace và quản lý fatigue. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00142,lower_back_tightness,Căng lưng dưới,skinny_beginner,Người gầy mới tập,recovery,Hồi phục,"Căng lưng dưới ở nhóm người gầy mới tập: Rà soát hinge, core brace và quản lý fatigue. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00143,lower_back_tightness,Căng lưng dưới,skinny_beginner,Người gầy mới tập,nutrition,Dinh dưỡng,"Căng lưng dưới ở nhóm người gầy mới tập: Rà soát hinge, core brace và quản lý fatigue. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00144,lower_back_tightness,Căng lưng dưới,skinny_beginner,Người gầy mới tập,load_management,Quản lý tải,"Căng lưng dưới ở nhóm người gầy mới tập: Rà soát hinge, core brace và quản lý fatigue. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00145,lower_back_tightness,Căng lưng dưới,skinny_beginner,Người gầy mới tập,warning_signs,Dấu hiệu cần thận trọng,"Căng lưng dưới ở nhóm người gầy mới tập: Rà soát hinge, core brace và quản lý fatigue. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00146,lower_back_tightness,Căng lưng dưới,home_trainee,Người tập tại nhà,training_modification,Điều chỉnh bài tập,"Căng lưng dưới ở nhóm người tập tại nhà: Rà soát hinge, core brace và quản lý fatigue. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00147,lower_back_tightness,Căng lưng dưới,home_trainee,Người tập tại nhà,recovery,Hồi phục,"Căng lưng dưới ở nhóm người tập tại nhà: Rà soát hinge, core brace và quản lý fatigue. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00148,lower_back_tightness,Căng lưng dưới,home_trainee,Người tập tại nhà,nutrition,Dinh dưỡng,"Căng lưng dưới ở nhóm người tập tại nhà: Rà soát hinge, core brace và quản lý fatigue. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00149,lower_back_tightness,Căng lưng dưới,home_trainee,Người tập tại nhà,load_management,Quản lý tải,"Căng lưng dưới ở nhóm người tập tại nhà: Rà soát hinge, core brace và quản lý fatigue. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00150,lower_back_tightness,Căng lưng dưới,home_trainee,Người tập tại nhà,warning_signs,Dấu hiệu cần thận trọng,"Căng lưng dưới ở nhóm người tập tại nhà: Rà soát hinge, core brace và quản lý fatigue. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00151,lower_back_tightness,Căng lưng dưới,strength_athlete,Người ưu tiên sức mạnh,training_modification,Điều chỉnh bài tập,"Căng lưng dưới ở nhóm người ưu tiên sức mạnh: Rà soát hinge, core brace và quản lý fatigue. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00152,lower_back_tightness,Căng lưng dưới,strength_athlete,Người ưu tiên sức mạnh,recovery,Hồi phục,"Căng lưng dưới ở nhóm người ưu tiên sức mạnh: Rà soát hinge, core brace và quản lý fatigue. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00153,lower_back_tightness,Căng lưng dưới,strength_athlete,Người ưu tiên sức mạnh,nutrition,Dinh dưỡng,"Căng lưng dưới ở nhóm người ưu tiên sức mạnh: Rà soát hinge, core brace và quản lý fatigue. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00154,lower_back_tightness,Căng lưng dưới,strength_athlete,Người ưu tiên sức mạnh,load_management,Quản lý tải,"Căng lưng dưới ở nhóm người ưu tiên sức mạnh: Rà soát hinge, core brace và quản lý fatigue. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00155,lower_back_tightness,Căng lưng dưới,strength_athlete,Người ưu tiên sức mạnh,warning_signs,Dấu hiệu cần thận trọng,"Căng lưng dưới ở nhóm người ưu tiên sức mạnh: Rà soát hinge, core brace và quản lý fatigue. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00156,lower_back_tightness,Căng lưng dưới,hypertrophy_trainee,Người ưu tiên tăng cơ,training_modification,Điều chỉnh bài tập,"Căng lưng dưới ở nhóm người ưu tiên tăng cơ: Rà soát hinge, core brace và quản lý fatigue. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00157,lower_back_tightness,Căng lưng dưới,hypertrophy_trainee,Người ưu tiên tăng cơ,recovery,Hồi phục,"Căng lưng dưới ở nhóm người ưu tiên tăng cơ: Rà soát hinge, core brace và quản lý fatigue. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00158,lower_back_tightness,Căng lưng dưới,hypertrophy_trainee,Người ưu tiên tăng cơ,nutrition,Dinh dưỡng,"Căng lưng dưới ở nhóm người ưu tiên tăng cơ: Rà soát hinge, core brace và quản lý fatigue. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00159,lower_back_tightness,Căng lưng dưới,hypertrophy_trainee,Người ưu tiên tăng cơ,load_management,Quản lý tải,"Căng lưng dưới ở nhóm người ưu tiên tăng cơ: Rà soát hinge, core brace và quản lý fatigue. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00160,lower_back_tightness,Căng lưng dưới,hypertrophy_trainee,Người ưu tiên tăng cơ,warning_signs,Dấu hiệu cần thận trọng,"Căng lưng dưới ở nhóm người ưu tiên tăng cơ: Rà soát hinge, core brace và quản lý fatigue. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00161,poor_sleep,Ngủ kém,office_worker,Dân văn phòng,training_modification,Điều chỉnh bài tập,"Ngủ kém ở nhóm dân văn phòng: Giảm volume/tải ngắn hạn, ưu tiên hồi phục và cường độ vừa. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00162,poor_sleep,Ngủ kém,office_worker,Dân văn phòng,recovery,Hồi phục,"Ngủ kém ở nhóm dân văn phòng: Giảm volume/tải ngắn hạn, ưu tiên hồi phục và cường độ vừa. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
