exercise_id,exercise_name_vi,exercise_name_en,aliases_vi,category,subcategory,movement_pattern,primary_muscles,primary_muscles_vi,secondary_muscles,secondary_muscles_vi,equipment,equipment_vi,difficulty,difficulty_vi,mechanics,is_unilateral,is_compound,force_type,setup,execution_steps,breathing,common_errors,regressions,progressions,contraindications,hypertrophy_rep_range,strength_rep_range,endurance_rep_range,rest_seconds_default,tempo_default,tags
EX00029,Đẩy vai ngồi với tạ đơn,Seated Dumbbell Overhead Press,overhead press; shoulder press; đẩy vai tạ đơn,strength,shoulder_press,vertical_push,front_delts,Vai trước,triceps|side_delts|upper_back,"Tay sau, Vai giữa, Lưng trên",dumbbell,Tạ đơn,intermediate,Trung cấp,controlled,False,True,push,"Siết mông, siết bụng, xếp xương sườn gọn, khuỷu tay hơi trước thân.","Đẩy tạ lên theo đường thẳng hoặc hơi cong tự nhiên, đầu tránh đường tạ rồi trở về vị trí trung tính ở đỉnh.","Hít vào trước khi đẩy, giữ ổn định thân, thở ra gần đỉnh.",Ưỡn lưng quá mức; quỹ đạo ra trước; khóa khuỷu tay quá gắt; vai nhún cao.,Dùng máy shoulder press hoặc giảm ROM.,"Tăng tải, thêm set, dùng biến thể đứng với tạ đòn.",Cẩn trọng nếu đau vai khi đưa tay qua đầu hoặc đau lưng dưới.,6-12,3-6,12-20,75,2-1-1-0,vai|vertical_push|compound
EX00030,Đẩy vai ngồi với máy,Seated Machine Overhead Press,overhead press; shoulder press; đẩy vai máy,strength,shoulder_press,vertical_push,front_delts,Vai trước,triceps|side_delts|upper_back,"Tay sau, Vai giữa, Lưng trên",machine,Máy tập,beginner,Mới bắt đầu,controlled,False,True,push,"Siết mông, siết bụng, xếp xương sườn gọn, khuỷu tay hơi trước thân.","Đẩy tạ lên theo đường thẳng hoặc hơi cong tự nhiên, đầu tránh đường tạ rồi trở về vị trí trung tính ở đỉnh.","Hít vào trước khi đẩy, giữ ổn định thân, thở ra gần đỉnh.",Ưỡn lưng quá mức; quỹ đạo ra trước; khóa khuỷu tay quá gắt; vai nhún cao.,Dùng máy shoulder press hoặc giảm ROM.,"Tăng tải, thêm set, dùng biến thể đứng với tạ đòn.",Cẩn trọng nếu đau vai khi đưa tay qua đầu hoặc đau lưng dưới.,6-12,3-6,12-20,75,2-1-1-0,vai|vertical_push|compound
EX00031,Đẩy vai ngồi với máy smith,Seated Smith Machine Overhead Press,overhead press; shoulder press; đẩy vai máy smith,strength,shoulder_press,vertical_push,front_delts,Vai trước,triceps|side_delts|upper_back,"Tay sau, Vai giữa, Lưng trên",smith_machine,Máy smith,intermediate,Trung cấp,controlled,False,True,push,"Siết mông, siết bụng, xếp xương sườn gọn, khuỷu tay hơi trước thân.","Đẩy tạ lên theo đường thẳng hoặc hơi cong tự nhiên, đầu tránh đường tạ rồi trở về vị trí trung tính ở đỉnh.","Hít vào trước khi đẩy, giữ ổn định thân, thở ra gần đỉnh.",Ưỡn lưng quá mức; quỹ đạo ra trước; khóa khuỷu tay quá gắt; vai nhún cao.,Dùng máy shoulder press hoặc giảm ROM.,"Tăng tải, thêm set, dùng biến thể đứng với tạ đòn.",Cẩn trọng nếu đau vai khi đưa tay qua đầu hoặc đau lưng dưới.,6-12,3-6,12-20,75,2-1-1-0,vai|vertical_push|compound
EX00032,Nâng vai ngang tạ đơn,Dumbbell Lateral Raise,lateral raise; nâng ngang,strength,lateral_raise,vertical_push,side_delts,Vai giữa,upper_traps,upper_traps,dumbbell,Tạ đơn,beginner,Mới bắt đầu,controlled,False,False,push,"Đứng vững, khuỷu tay hơi cong, cổ tay trung tính.","Nâng cánh tay sang ngang đến gần ngang vai, dừng ngắn và hạ chậm có kiểm soát.","Thở ra khi nâng, hít vào khi hạ.",Nhún trap quá mức; đung đưa người; nâng quá cao làm mất căng mục tiêu.,Giảm tạ hoặc tập từng tay một để kiểm soát tốt hơn.,"Thêm pause đỉnh, tăng rep, làm mechanical dropset.",Cẩn trọng nếu đau chóp xoay hoặc viêm dưới mỏm cùng.,12-20,8-12,15-30,45,2-1-2-1,vai giữa|isolation|lateral raise
EX00033,Nâng vai ngang dây cáp,Cable Lateral Raise,cable lateral raise,strength,lateral_raise,vertical_push,side_delts,Vai giữa,upper_traps,upper_traps,cable,Cáp,beginner,Mới bắt đầu,controlled,False,False,push,"Đứng vững, khuỷu tay hơi cong, cổ tay trung tính.","Nâng cánh tay sang ngang đến gần ngang vai, dừng ngắn và hạ chậm có kiểm soát.","Thở ra khi nâng, hít vào khi hạ.",Nhún trap quá mức; đung đưa người; nâng quá cao làm mất căng mục tiêu.,Giảm tạ hoặc tập từng tay một để kiểm soát tốt hơn.,"Thêm pause đỉnh, tăng rep, làm mechanical dropset.",Cẩn trọng nếu đau chóp xoay hoặc viêm dưới mỏm cùng.,12-20,8-12,15-30,45,2-1-2-1,vai giữa|isolation|lateral raise
EX00034,Nâng vai ngang dây kháng lực,Band Lateral Raise,band lateral raise,strength,lateral_raise,vertical_push,side_delts,Vai giữa,upper_traps,upper_traps,resistance_band,Dây kháng lực,beginner,Mới bắt đầu,controlled,False,False,push,"Đứng vững, khuỷu tay hơi cong, cổ tay trung tính.","Nâng cánh tay sang ngang đến gần ngang vai, dừng ngắn và hạ chậm có kiểm soát.","Thở ra khi nâng, hít vào khi hạ.",Nhún trap quá mức; đung đưa người; nâng quá cao làm mất căng mục tiêu.,Giảm tạ hoặc tập từng tay một để kiểm soát tốt hơn.,"Thêm pause đỉnh, tăng rep, làm mechanical dropset.",Cẩn trọng nếu đau chóp xoay hoặc viêm dưới mỏm cùng.,12-20,8-12,15-30,45,2-1-2-1,vai giữa|isolation|lateral raise
EX00035,Nâng vai ngang máy,Machine Lateral Raise,machine lateral raise,strength,lateral_raise,vertical_push,side_delts,Vai giữa,upper_traps,upper_traps,machine,Máy tập,beginner,Mới bắt đầu,controlled,False,False,push,"Đứng vững, khuỷu tay hơi cong, cổ tay trung tính.","Nâng cánh tay sang ngang đến gần ngang vai, dừng ngắn và hạ chậm có kiểm soát.","Thở ra khi nâng, hít vào khi hạ.",Nhún trap quá mức; đung đưa người; nâng quá cao làm mất căng mục tiêu.,Giảm tạ hoặc tập từng tay một để kiểm soát tốt hơn.,"Thêm pause đỉnh, tăng rep, làm mechanical dropset.",Cẩn trọng nếu đau chóp xoay hoặc viêm dưới mỏm cùng.,12-20,8-12,15-30,45,2-1-2-1,vai giữa|isolation|lateral raise
EX00036,Nâng vai ngang lean-away cáp,Lean-Away Cable Lateral Raise,lean away lateral raise,strength,lateral_raise,vertical_push,side_delts,Vai giữa,upper_traps,upper_traps,cable,Cáp,beginner,Mới bắt đầu,controlled,False,False,push,"Đứng vững, khuỷu tay hơi cong, cổ tay trung tính.","Nâng cánh tay sang ngang đến gần ngang vai, dừng ngắn và hạ chậm có kiểm soát.","Thở ra khi nâng, hít vào khi hạ.",Nhún trap quá mức; đung đưa người; nâng quá cao làm mất căng mục tiêu.,Giảm tạ hoặc tập từng tay một để kiểm soát tốt hơn.,"Thêm pause đỉnh, tăng rep, làm mechanical dropset.",Cẩn trọng nếu đau chóp xoay hoặc viêm dưới mỏm cùng.,12-20,8-12,15-30,45,2-1-2-1,vai giữa|isolation|lateral raise
EX00037,Reverse Fly tạ đơn,Dumbbell Reverse Fly,reverse fly vai sau,strength,rear_delt,horizontal_pull,rear_delts,Vai sau,upper_back|rotator_cuff,"Lưng trên, Chóp xoay",dumbbell,Tạ đơn,beginner,Mới bắt đầu,controlled,False,False,pull,"Giữ ngực tựa ổn định hoặc gập hông nhẹ, bả vai không co giật.","Kéo khuỷu tay theo hướng rộng để nhấn vai sau, dừng ngắn ở cuối biên độ và hạ chậm.","Thở ra khi kéo, hít vào khi trả tạ.",Nhún trap; dùng quán tính; biến thành row lưng giữa.,Giảm tải hoặc dùng máy hỗ trợ quỹ đạo.,Tăng pause đỉnh và giữ kiểm soát eccentric.,Cẩn trọng nếu đau vai sau hoặc mất kiểm soát bả vai.,12-20,8-12,15-25,45,2-1-2-1,vai sau|posture|pull
EX00038,Face Pull dây cáp,Cable Face Pull,face pull,strength,rear_delt,horizontal_pull,rear_delts,Vai sau,upper_back|rotator_cuff,"Lưng trên, Chóp xoay",cable,Cáp,beginner,Mới bắt đầu,controlled,False,False,pull,"Giữ ngực tựa ổn định hoặc gập hông nhẹ, bả vai không co giật.","Kéo khuỷu tay theo hướng rộng để nhấn vai sau, dừng ngắn ở cuối biên độ và hạ chậm.","Thở ra khi kéo, hít vào khi trả tạ.",Nhún trap; dùng quán tính; biến thành row lưng giữa.,Giảm tải hoặc dùng máy hỗ trợ quỹ đạo.,Tăng pause đỉnh và giữ kiểm soát eccentric.,Cẩn trọng nếu đau vai sau hoặc mất kiểm soát bả vai.,12-20,8-12,15-25,45,2-1-2-1,vai sau|posture|pull
EX00039,Reverse Pec Deck,Reverse Pec Deck,máy vai sau,strength,rear_delt,horizontal_pull,rear_delts,Vai sau,upper_back|rotator_cuff,"Lưng trên, Chóp xoay",machine,Máy tập,beginner,Mới bắt đầu,controlled,False,False,pull,"Giữ ngực tựa ổn định hoặc gập hông nhẹ, bả vai không co giật.","Kéo khuỷu tay theo hướng rộng để nhấn vai sau, dừng ngắn ở cuối biên độ và hạ chậm.","Thở ra khi kéo, hít vào khi trả tạ.",Nhún trap; dùng quán tính; biến thành row lưng giữa.,Giảm tải hoặc dùng máy hỗ trợ quỹ đạo.,Tăng pause đỉnh và giữ kiểm soát eccentric.,Cẩn trọng nếu đau vai sau hoặc mất kiểm soát bả vai.,12-20,8-12,15-25,45,2-1-2-1,vai sau|posture|pull
EX00040,Rear Delt Row,Rear Delt Row,row vai sau,strength,rear_delt,horizontal_pull,rear_delts,Vai sau,upper_back|rotator_cuff,"Lưng trên, Chóp xoay",dumbbell,Tạ đơn,beginner,Mới bắt đầu,controlled,False,False,pull,"Giữ ngực tựa ổn định hoặc gập hông nhẹ, bả vai không co giật.","Kéo khuỷu tay theo hướng rộng để nhấn vai sau, dừng ngắn ở cuối biên độ và hạ chậm.","Thở ra khi kéo, hít vào khi trả tạ.",Nhún trap; dùng quán tính; biến thành row lưng giữa.,Giảm tải hoặc dùng máy hỗ trợ quỹ đạo.,Tăng pause đỉnh và giữ kiểm soát eccentric.,Cẩn trọng nếu đau vai sau hoặc mất kiểm soát bả vai.,12-20,8-12,15-25,45,2-1-2-1,vai sau|posture|pull
EX00041,Đẩy cáp tay sau,Cable Triceps Pushdown,pushdown tay sau,strength,triceps_isolation,horizontal_push,triceps,Tay sau,front_delts,Vai trước,cable,Cáp,intermediate,Trung cấp,controlled,False,False,push,"Giữ khuỷu tay tương đối cố định, vai không nhô ra trước.","Duỗi khuỷu tay để siết cơ tay sau, giữ cổ tay trung tính và kiểm soát pha hạ.","Thở ra khi duỗi, hít vào khi hạ.",Khuỷu tay mở rộng; vai xoay trong; dùng quán tính thân người.,"Giảm tải, dùng rope hoặc machine hỗ trợ.","Tăng rep, thêm pause đỉnh, chuyển sang biến thể unilateral.",Cẩn trọng nếu đau khuỷu hoặc vai trước.,10-15,6-10,15-25,45,2-1-2-1,tay sau|isolation
EX00042,Duỗi tay sau qua đầu với cáp,Overhead Cable Triceps Extension,overhead triceps extension,strength,triceps_isolation,vertical_push,triceps,Tay sau,front_delts,Vai trước,cable,Cáp,intermediate,Trung cấp,controlled,False,False,push,"Giữ khuỷu tay tương đối cố định, vai không nhô ra trước.","Duỗi khuỷu tay để siết cơ tay sau, giữ cổ tay trung tính và kiểm soát pha hạ.","Thở ra khi duỗi, hít vào khi hạ.",Khuỷu tay mở rộng; vai xoay trong; dùng quán tính thân người.,"Giảm tải, dùng rope hoặc machine hỗ trợ.","Tăng rep, thêm pause đỉnh, chuyển sang biến thể unilateral.",Cẩn trọng nếu đau khuỷu hoặc vai trước.,10-15,6-10,15-25,45,2-1-2-1,tay sau|isolation
EX00043,Skull Crusher với EZ bar,EZ-Bar Skull Crusher,skull crusher,strength,triceps_isolation,horizontal_push,triceps,Tay sau,front_delts,Vai trước,barbell,Tạ đòn,intermediate,Trung cấp,controlled,False,False,push,"Giữ khuỷu tay tương đối cố định, vai không nhô ra trước.","Duỗi khuỷu tay để siết cơ tay sau, giữ cổ tay trung tính và kiểm soát pha hạ.","Thở ra khi duỗi, hít vào khi hạ.",Khuỷu tay mở rộng; vai xoay trong; dùng quán tính thân người.,"Giảm tải, dùng rope hoặc machine hỗ trợ.","Tăng rep, thêm pause đỉnh, chuyển sang biến thể unilateral.",Cẩn trọng nếu đau khuỷu hoặc vai trước.,10-15,6-10,15-25,45,2-1-2-1,tay sau|isolation
EX00044,Duỗi tay sau tạ đơn 1 tay,One-Arm Dumbbell Overhead Triceps Extension,triceps extension 1 tay,strength,triceps_isolation,vertical_push,triceps,Tay sau,front_delts,Vai trước,dumbbell,Tạ đơn,intermediate,Trung cấp,controlled,True,False,push,"Giữ khuỷu tay tương đối cố định, vai không nhô ra trước.","Duỗi khuỷu tay để siết cơ tay sau, giữ cổ tay trung tính và kiểm soát pha hạ.","Thở ra khi duỗi, hít vào khi hạ.",Khuỷu tay mở rộng; vai xoay trong; dùng quán tính thân người.,"Giảm tải, dùng rope hoặc machine hỗ trợ.","Tăng rep, thêm pause đỉnh, chuyển sang biến thể unilateral.",Cẩn trọng nếu đau khuỷu hoặc vai trước.,10-15,6-10,15-25,45,2-1-2-1,tay sau|isolation
EX00045,Bench Dip,Bench Dip,dip ghế,strength,triceps_isolation,horizontal_push,triceps,Tay sau,front_delts,Vai trước,bodyweight|bench,"Trọng lượng cơ thể, Ghế tập",intermediate,Trung cấp,controlled,False,True,push,"Giữ khuỷu tay tương đối cố định, vai không nhô ra trước.","Duỗi khuỷu tay để siết cơ tay sau, giữ cổ tay trung tính và kiểm soát pha hạ.","Thở ra khi duỗi, hít vào khi hạ.",Khuỷu tay mở rộng; vai xoay trong; dùng quán tính thân người.,"Giảm tải, dùng rope hoặc machine hỗ trợ.","Tăng rep, thêm pause đỉnh, chuyển sang biến thể unilateral.",Cẩn trọng nếu đau khuỷu hoặc vai trước.,10-15,6-10,15-25,45,2-1-2-1,tay sau|isolation
EX00046,Dip xà kép,Parallel Bar Dip,dip tay sau,strength,triceps_isolation,horizontal_push,triceps,Tay sau,front_delts,Vai trước,bodyweight|bench,"Trọng lượng cơ thể, Ghế tập",intermediate,Trung cấp,controlled,False,True,push,"Giữ khuỷu tay tương đối cố định, vai không nhô ra trước.","Duỗi khuỷu tay để siết cơ tay sau, giữ cổ tay trung tính và kiểm soát pha hạ.","Thở ra khi duỗi, hít vào khi hạ.",Khuỷu tay mở rộng; vai xoay trong; dùng quán tính thân người.,"Giảm tải, dùng rope hoặc machine hỗ trợ.","Tăng rep, thêm pause đỉnh, chuyển sang biến thể unilateral.",Cẩn trọng nếu đau khuỷu hoặc vai trước.,10-15,6-10,15-25,45,2-1-2-1,tay sau|isolation
EX00047,Barbell Row cúi người,Bent-Over Barbell Row,barbell row,strength,row,horizontal_pull,lats|mid_back,"Xô, Lưng giữa",biceps|spinal_erectors,"Tay trước, Cơ dựng sống",barbell,Tạ đòn,intermediate,Trung cấp,controlled,False,True,pull,"Siết core, vai không nhún, ngực mở và cột sống trung tính.","Kéo cùi chỏ về sau hoặc hơi chéo xuống tuỳ mục tiêu xô/lưng giữa, dừng ngắn và hạ chậm.","Thở ra khi kéo, hít vào khi trả tạ.",Giật lưng; nhún trap; gập cổ; biên độ quá ngắn.,Dùng machine row hoặc chest-supported row.,"Tăng tải, thêm pause ở đỉnh, kiểm soát eccentric dài hơn.",Cẩn trọng nếu đau lưng dưới với biến thể cúi người.,6-12,4-6,12-20,75,2-1-2-1,lưng|row|compound
EX00048,Dumbbell Row 1 tay,One-Arm Dumbbell Row,dumbbell row 1 tay,strength,row,horizontal_pull,lats|mid_back,"Xô, Lưng giữa",biceps|rear_delts,"Tay trước, Vai sau",dumbbell,Tạ đơn,beginner,Mới bắt đầu,controlled,True,True,pull,"Siết core, vai không nhún, ngực mở và cột sống trung tính.","Kéo cùi chỏ về sau hoặc hơi chéo xuống tuỳ mục tiêu xô/lưng giữa, dừng ngắn và hạ chậm.","Thở ra khi kéo, hít vào khi trả tạ.",Giật lưng; nhún trap; gập cổ; biên độ quá ngắn.,Dùng machine row hoặc chest-supported row.,"Tăng tải, thêm pause ở đỉnh, kiểm soát eccentric dài hơn.",Cẩn trọng nếu đau lưng dưới với biến thể cúi người.,6-12,4-6,12-20,75,2-1-2-1,lưng|row|compound
EX00049,Seated Cable Row,Seated Cable Row,cable row,strength,row,horizontal_pull,mid_back|lats,"Lưng giữa, Xô",biceps|rear_delts,"Tay trước, Vai sau",cable,Cáp,beginner,Mới bắt đầu,controlled,False,True,pull,"Siết core, vai không nhún, ngực mở và cột sống trung tính.","Kéo cùi chỏ về sau hoặc hơi chéo xuống tuỳ mục tiêu xô/lưng giữa, dừng ngắn và hạ chậm.","Thở ra khi kéo, hít vào khi trả tạ.",Giật lưng; nhún trap; gập cổ; biên độ quá ngắn.,Dùng machine row hoặc chest-supported row.,"Tăng tải, thêm pause ở đỉnh, kiểm soát eccentric dài hơn.",Cẩn trọng nếu đau lưng dưới với biến thể cúi người.,6-12,4-6,12-20,75,2-1-2-1,lưng|row|compound
EX00050,Chest-Supported Row,Chest-Supported Row,chest supported row,strength,row,horizontal_pull,mid_back|upper_back,"Lưng giữa, Lưng trên",biceps|rear_delts,"Tay trước, Vai sau",dumbbell,Tạ đơn,beginner,Mới bắt đầu,controlled,False,True,pull,"Siết core, vai không nhún, ngực mở và cột sống trung tính.","Kéo cùi chỏ về sau hoặc hơi chéo xuống tuỳ mục tiêu xô/lưng giữa, dừng ngắn và hạ chậm.","Thở ra khi kéo, hít vào khi trả tạ.",Giật lưng; nhún trap; gập cổ; biên độ quá ngắn.,Dùng machine row hoặc chest-supported row.,"Tăng tải, thêm pause ở đỉnh, kiểm soát eccentric dài hơn.",Cẩn trọng nếu đau lưng dưới với biến thể cúi người.,6-12,4-6,12-20,75,2-1-2-1,lưng|row|compound
EX00051,Machine Row,Machine Row,machine row,strength,row,horizontal_pull,mid_back|lats,"Lưng giữa, Xô",biceps,Tay trước,machine,Máy tập,beginner,Mới bắt đầu,controlled,False,True,pull,"Siết core, vai không nhún, ngực mở và cột sống trung tính.","Kéo cùi chỏ về sau hoặc hơi chéo xuống tuỳ mục tiêu xô/lưng giữa, dừng ngắn và hạ chậm.","Thở ra khi kéo, hít vào khi trả tạ.",Giật lưng; nhún trap; gập cổ; biên độ quá ngắn.,Dùng machine row hoặc chest-supported row.,"Tăng tải, thêm pause ở đỉnh, kiểm soát eccentric dài hơn.",Cẩn trọng nếu đau lưng dưới với biến thể cúi người.,6-12,4-6,12-20,75,2-1-2-1,lưng|row|compound
EX00052,Landmine Row,Landmine Row,landmine row,strength,row,horizontal_pull,mid_back|lats,"Lưng giữa, Xô",biceps|spinal_erectors,"Tay trước, Cơ dựng sống",landmine,Landmine,intermediate,Trung cấp,controlled,False,True,pull,"Siết core, vai không nhún, ngực mở và cột sống trung tính.","Kéo cùi chỏ về sau hoặc hơi chéo xuống tuỳ mục tiêu xô/lưng giữa, dừng ngắn và hạ chậm.","Thở ra khi kéo, hít vào khi trả tạ.",Giật lưng; nhún trap; gập cổ; biên độ quá ngắn.,Dùng machine row hoặc chest-supported row.,"Tăng tải, thêm pause ở đỉnh, kiểm soát eccentric dài hơn.",Cẩn trọng nếu đau lưng dưới với biến thể cúi người.,6-12,4-6,12-20,75,2-1-2-1,lưng|row|compound
EX00053,T-Bar Row,T-Bar Row,t-bar row,strength,row,horizontal_pull,mid_back|upper_back,"Lưng giữa, Lưng trên",biceps|rear_delts,"Tay trước, Vai sau",landmine,Landmine,intermediate,Trung cấp,controlled,False,True,pull,"Siết core, vai không nhún, ngực mở và cột sống trung tính.","Kéo cùi chỏ về sau hoặc hơi chéo xuống tuỳ mục tiêu xô/lưng giữa, dừng ngắn và hạ chậm.","Thở ra khi kéo, hít vào khi trả tạ.",Giật lưng; nhún trap; gập cổ; biên độ quá ngắn.,Dùng machine row hoặc chest-supported row.,"Tăng tải, thêm pause ở đỉnh, kiểm soát eccentric dài hơn.",Cẩn trọng nếu đau lưng dưới với biến thể cúi người.,6-12,4-6,12-20,75,2-1-2-1,lưng|row|compound
EX00054,Kéo xà rộng tay,Wide-Grip Pull-Up,pull-up rộng,strength,vertical_pull,vertical_pull,lats|upper_back,"Xô, Lưng trên",biceps|rear_delts,"Tay trước, Vai sau",bodyweight,Trọng lượng cơ thể,intermediate,Trung cấp,controlled,False,True,pull,"Thiết lập vai hạ thấp, ngực mở, core siết.","Kéo tay hoặc khuỷu tay xuống về phía thân, tránh nhún vai và kiểm soát hoàn toàn pha lên.","Thở ra khi kéo xuống, hít vào khi trả về.",Đá chân lấy đà; cằm rướn; kéo bằng biceps quá nhiều; ROM nửa vời.,"Dùng assisted pull-up, band hỗ trợ hoặc lat pulldown.","Tăng tải, thêm pause đáy, chuyển từ pulldown sang pull-up.",Cẩn trọng nếu đau khuỷu hoặc vai.,6-12,3-6,12-20,75,2-1-2-1,xô|vertical pull|compound
EX00055,Kéo xà trung tính,Neutral-Grip Pull-Up,pull-up trung tính,strength,vertical_pull,vertical_pull,lats|upper_back,"Xô, Lưng trên",biceps|rear_delts,"Tay trước, Vai sau",pullup_bar,Xà đơn,intermediate,Trung cấp,controlled,False,True,pull,"Thiết lập vai hạ thấp, ngực mở, core siết.","Kéo tay hoặc khuỷu tay xuống về phía thân, tránh nhún vai và kiểm soát hoàn toàn pha lên.","Thở ra khi kéo xuống, hít vào khi trả về.",Đá chân lấy đà; cằm rướn; kéo bằng biceps quá nhiều; ROM nửa vời.,"Dùng assisted pull-up, band hỗ trợ hoặc lat pulldown.","Tăng tải, thêm pause đáy, chuyển từ pulldown sang pull-up.",Cẩn trọng nếu đau khuỷu hoặc vai.,6-12,3-6,12-20,75,2-1-2-1,xô|vertical pull|compound
EX00056,Chin-Up,Chin-Up,chin-up,strength,vertical_pull,vertical_pull,lats|upper_back,"Xô, Lưng trên",biceps|rear_delts,"Tay trước, Vai sau",pullup_bar,Xà đơn,intermediate,Trung cấp,controlled,False,True,pull,"Thiết lập vai hạ thấp, ngực mở, core siết.","Kéo tay hoặc khuỷu tay xuống về phía thân, tránh nhún vai và kiểm soát hoàn toàn pha lên.","Thở ra khi kéo xuống, hít vào khi trả về.",Đá chân lấy đà; cằm rướn; kéo bằng biceps quá nhiều; ROM nửa vời.,"Dùng assisted pull-up, band hỗ trợ hoặc lat pulldown.","Tăng tải, thêm pause đáy, chuyển từ pulldown sang pull-up.",Cẩn trọng nếu đau khuỷu hoặc vai.,6-12,3-6,12-20,75,2-1-2-1,xô|vertical pull|compound
EX00057,Lat Pulldown rộng tay,Wide-Grip Lat Pulldown,lat pulldown rộng,strength,vertical_pull,vertical_pull,lats|upper_back,"Xô, Lưng trên",biceps|rear_delts,"Tay trước, Vai sau",cable,Cáp,beginner,Mới bắt đầu,controlled,False,True,pull,"Thiết lập vai hạ thấp, ngực mở, core siết.","Kéo tay hoặc khuỷu tay xuống về phía thân, tránh nhún vai và kiểm soát hoàn toàn pha lên.","Thở ra khi kéo xuống, hít vào khi trả về.",Đá chân lấy đà; cằm rướn; kéo bằng biceps quá nhiều; ROM nửa vời.,"Dùng assisted pull-up, band hỗ trợ hoặc lat pulldown.","Tăng tải, thêm pause đáy, chuyển từ pulldown sang pull-up.",Cẩn trọng nếu đau khuỷu hoặc vai.,6-12,3-6,12-20,75,2-1-2-1,xô|vertical pull|compound
EX00058,Lat Pulldown tay hẹp,Close-Grip Lat Pulldown,lat pulldown hẹp,strength,vertical_pull,vertical_pull,lats|upper_back,"Xô, Lưng trên",biceps|rear_delts,"Tay trước, Vai sau",cable,Cáp,beginner,Mới bắt đầu,controlled,False,True,pull,"Thiết lập vai hạ thấp, ngực mở, core siết.","Kéo tay hoặc khuỷu tay xuống về phía thân, tránh nhún vai và kiểm soát hoàn toàn pha lên.","Thở ra khi kéo xuống, hít vào khi trả về.",Đá chân lấy đà; cằm rướn; kéo bằng biceps quá nhiều; ROM nửa vời.,"Dùng assisted pull-up, band hỗ trợ hoặc lat pulldown.","Tăng tải, thêm pause đáy, chuyển từ pulldown sang pull-up.",Cẩn trọng nếu đau khuỷu hoặc vai.,6-12,3-6,12-20,75,2-1-2-1,xô|vertical pull|compound
EX00059,Assisted Pull-Up,Assisted Pull-Up,pull-up hỗ trợ,strength,vertical_pull,vertical_pull,lats|upper_back,"Xô, Lưng trên",biceps|rear_delts,"Tay trước, Vai sau",machine,Máy tập,beginner,Mới bắt đầu,controlled,False,True,pull,"Thiết lập vai hạ thấp, ngực mở, core siết.","Kéo tay hoặc khuỷu tay xuống về phía thân, tránh nhún vai và kiểm soát hoàn toàn pha lên.","Thở ra khi kéo xuống, hít vào khi trả về.",Đá chân lấy đà; cằm rướn; kéo bằng biceps quá nhiều; ROM nửa vời.,"Dùng assisted pull-up, band hỗ trợ hoặc lat pulldown.","Tăng tải, thêm pause đáy, chuyển từ pulldown sang pull-up.",Cẩn trọng nếu đau khuỷu hoặc vai.,6-12,3-6,12-20,75,2-1-2-1,xô|vertical pull|compound
EX00060,Straight-Arm Pulldown,Straight-Arm Pulldown,pulldown tay thẳng,strength,vertical_pull,vertical_pull,lats,Xô,transverse_abs,Core sâu,cable,Cáp,beginner,Mới bắt đầu,controlled,False,False,pull,"Thiết lập vai hạ thấp, ngực mở, core siết.","Kéo tay hoặc khuỷu tay xuống về phía thân, tránh nhún vai và kiểm soát hoàn toàn pha lên.","Thở ra khi kéo xuống, hít vào khi trả về.",Đá chân lấy đà; cằm rướn; kéo bằng biceps quá nhiều; ROM nửa vời.,"Dùng assisted pull-up, band hỗ trợ hoặc lat pulldown.","Tăng tải, thêm pause đáy, chuyển từ pulldown sang pull-up.",Cẩn trọng nếu đau khuỷu hoặc vai.,6-12,3-6,12-20,75,2-1-2-1,xô|vertical pull|compound
EX00061,Barbell Curl,Barbell Curl,barbell curl,strength,biceps_isolation,horizontal_pull,biceps,Tay trước,forearms,Cẳng tay,barbell,Tạ đòn,beginner,Mới bắt đầu,controlled,False,False,pull,"Đứng hoặc ngồi vững, khuỷu tay gần thân, ngực mở.","Co khuỷu tay để nâng tạ mà không vung vai, dừng ngắn ở đỉnh rồi hạ chậm.","Thở ra khi cuốn tạ, hít vào khi hạ.",Đung đưa thân; khuỷu tay trôi ra trước; cổ tay gập quá mức.,"Giảm tải, dùng cable hoặc machine để dễ kiểm soát.","Thêm tempo chậm, thêm set, thêm pause đỉnh.",Cẩn trọng nếu đau khuỷu hoặc cổ tay.,8-15,5-8,15-25,45,2-1-2-1,tay trước|biceps|isolation
EX00062,Dumbbell Alternating Curl,Alternating Dumbbell Curl,curl tạ đơn luân phiên,strength,biceps_isolation,horizontal_pull,biceps,Tay trước,forearms,Cẳng tay,dumbbell,Tạ đơn,beginner,Mới bắt đầu,controlled,True,False,pull,"Đứng hoặc ngồi vững, khuỷu tay gần thân, ngực mở.","Co khuỷu tay để nâng tạ mà không vung vai, dừng ngắn ở đỉnh rồi hạ chậm.","Thở ra khi cuốn tạ, hít vào khi hạ.",Đung đưa thân; khuỷu tay trôi ra trước; cổ tay gập quá mức.,"Giảm tải, dùng cable hoặc machine để dễ kiểm soát.","Thêm tempo chậm, thêm set, thêm pause đỉnh.",Cẩn trọng nếu đau khuỷu hoặc cổ tay.,8-15,5-8,15-25,45,2-1-2-1,tay trước|biceps|isolation
